order_date,color,size,unit_price,quantity,revenue,day,month,year
2022-06-01 16:05:00,Dark Blue,2XL,298,1,298,1,6,2022
2022-06-01 16:05:00,Dark Blue,2XL,258,1,258,1,6,2022
2022-06-10 17:03:00,other,One Size,228,1,228,10,6,2022
2022-06-10 19:59:00,Dark Blue,XL,264,1,264,10,6,2022
2022-06-11 11:42:00,Dark Blue,M,264,1,264,11,6,2022
2022-06-11 14:46:00,Dark Blue,XL,264,1,264,11,6,2022
2022-06-11 19:23:00,Dark Blue,XL,264,1,264,11,6,2022
2022-06-11 19:54:00,Dark Blue,3XL,278,1,278,11,6,2022
2022-06-11 21:09:00,Dark Blue,XL,278,1,278,11,6,2022
2022-06-11 22:53:00,other,others,258,1,258,11,6,2022
2022-06-12 17:32:00,Dark Blue,XL,278,1,278,12,6,2022
2022-06-12 21:16:00,Dark Blue,3XL,278,1,278,12,6,2022
2022-06-12 08:47:00,Dark Blue,3XL,278,1,278,12,6,2022
2022-06-13 10:11:00,Dark Blue,XL,264,1,264,13,6,2022
2022-06-14 00:07:00,Dark Blue,M,264,1,264,14,6,2022
2022-06-14 14:38:00,Dark Blue,One Size,228,1,228,14,6,2022
2022-06-14 14:38:00,Dark Blue,One Size,228,1,228,14,6,2022
2022-06-14 14:38:00,Gray,One Size,228,1,228,14,6,2022
2022-06-14 22:31:00,Dark Blue,XL,278,1,278,14,6,2022
2022-06-15 10:46:00,Dark Blue,2XL,278,1,278,15,6,2022
2022-06-15 13:36:00,other,others,258,1,258,15,6,2022
2022-06-15 13:36:00,other,others,258,1,258,15,6,2022
2022-06-15 13:36:00,other,others,258,1,258,15,6,2022
2022-06-15 13:36:00,other,others,258,1,258,15,6,2022
2022-06-15 13:36:00,other,others,288,1,288,15,6,2022
2022-06-15 20:42:00,Dark Blue,XL,264,1,264,15,6,2022
2022-06-15 21:22:00,Dark Blue,XL,264,1,264,15,6,2022
2022-06-15 05:50:00,Dark Blue,XL,264,1,264,15,6,2022
2022-06-15 07:30:00,Dark Blue,XL,264,1,264,15,6,2022
2022-06-16 20:12:00,Dark Blue,L,264,1,264,16,6,2022
2022-06-16 07:47:00,Dark Blue,3XL,278,1,278,16,6,2022
2022-06-17 10:57:00,Dark Blue,3XL,278,1,278,17,6,2022
2022-06-18 11:31:00,Dark Blue,3XL,278,1,278,18,6,2022
2022-06-18 19:51:00,Dark Blue,XL,278,1,278,18,6,2022
2022-06-18 20:13:00,Dark Blue,3XL,278,1,278,18,6,2022
2022-06-18 08:36:00,Dark Blue,L,268,1,268,18,6,2022
2022-06-18 08:36:00,Dark Blue,XL,278,1,278,18,6,2022
2022-06-19 13:41:00,Dark Blue,2XL,278,1,278,19,6,2022
2022-06-19 09:44:00,Dark Blue,XL,264,1,264,19,6,2022
